## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[neat_5x_EX_hg19_chr21.bam] OUTPUT=markedDuplicates.bam METRICS_FILE=marked_dup_metrics_picard_2.21.2.txt TMP_DIR=[/tmp] VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Nov 26 14:27:01 EST 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
neat_5x_EX_hg19_golden	0	40010	0	0	0	18	0	0.00045	44453331

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	39974	39974
2.0	1.9991	18	18
3.0	2.997302	0	0
4.0	3.994605	0	0
5.0	4.991012	0	0
6.0	5.986522	0	0
7.0	6.981136	0	0
8.0	7.974855	0	0
9.0	8.967681	0	0
10.0	9.959613	0	0
11.0	10.950653	0	0
12.0	11.940801	0	0
13.0	12.930059	0	0
14.0	13.918427	0	0
15.0	14.905905	0	0
16.0	15.892495	0	0
17.0	16.878198	0	0
18.0	17.863013	0	0
19.0	18.846943	0	0
20.0	19.829988	0	0
21.0	20.812148	0	0
22.0	21.793424	0	0
23.0	22.773818	0	0
24.0	23.75333	0	0
25.0	24.73196	0	0
26.0	25.70971	0	0
27.0	26.686581	0	0
28.0	27.662573	0	0
29.0	28.637686	0	0
30.0	29.611923	0	0
31.0	30.585283	0	0
32.0	31.557767	0	0
33.0	32.529376	0	0
34.0	33.500111	0	0
35.0	34.469973	0	0
36.0	35.438963	0	0
37.0	36.407081	0	0
38.0	37.374327	0	0
39.0	38.340704	0	0
40.0	39.306211	0	0
41.0	40.27085	0	0
42.0	41.23462	0	0
43.0	42.197524	0	0
44.0	43.159561	0	0
45.0	44.120733	0	0
46.0	45.081041	0	0
47.0	46.040484	0	0
48.0	46.999064	0	0
49.0	47.956782	0	0
50.0	48.913638	0	0
51.0	49.869633	0	0
52.0	50.824768	0	0
53.0	51.779044	0	0
54.0	52.732462	0	0
55.0	53.685022	0	0
56.0	54.636725	0	0
57.0	55.587571	0	0
58.0	56.537562	0	0
59.0	57.486699	0	0
60.0	58.434982	0	0
61.0	59.382411	0	0
62.0	60.328988	0	0
63.0	61.274714	0	0
64.0	62.219589	0	0
65.0	63.163613	0	0
66.0	64.106789	0	0
67.0	65.049116	0	0
68.0	65.990595	0	0
69.0	66.931227	0	0
70.0	67.871013	0	0
71.0	68.809954	0	0
72.0	69.74805	0	0
73.0	70.685301	0	0
74.0	71.62171	0	0
75.0	72.557276	0	0
76.0	73.492001	0	0
77.0	74.425885	0	0
78.0	75.358928	0	0
79.0	76.291132	0	0
80.0	77.222498	0	0
81.0	78.153025	0	0
82.0	79.082716	0	0
83.0	80.01157	0	0
84.0	80.939588	0	0
85.0	81.866771	0	0
86.0	82.793121	0	0
87.0	83.718637	0	0
88.0	84.64332	0	0
89.0	85.567172	0	0
90.0	86.490192	0	0
91.0	87.412382	0	0
92.0	88.333742	0	0
93.0	89.254274	0	0
94.0	90.173977	0	0
95.0	91.092853	0	0
96.0	92.010902	0	0
97.0	92.928125	0	0
98.0	93.844523	0	0
99.0	94.760097	0	0
100.0	95.674847	0	0

