## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[data/TEST.merged.sorted.filter.bam] OUTPUT=data/TEST.merged.sorted.filter.deduped.bam METRICS_FILE=data/TEST.merged.sorted.filter.deduped.metrics REMOVE_DUPLICATES=false OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 TMP_DIR=[tmp] VALIDATION_STRINGENCY=SILENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Dec 25 19:00:24 EST 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
TEST_Lv_P_PE_521_WG	1478721	272230932	0	5227865	711755	107459187	24337	0.39497	246412461
TEST_Lv_P_PE_649_WG	2635231	557642143	0	8713151	1637791	286363364	30407	0.51378	334372250

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	222464371	0	222477876
2.0	113761581	54284	113763444
3.0	55571235	27	55567455
4.0	25445886	7	25441326
5.0	11046577	4	11043218
6.0	4557380	4	4555464
7.0	1806319	3	1805312
8.0	697176	0	696790
9.0	276549	2	276334
10.0	120560	3	120484
11.0	62728	1	62700
12.0	39454	0	39442
13.0	28373	1	28370
14.0	21952	1	21945
15.0	17336	2	17337
16.0	14075	0	14072
17.0	11969	1	11966
18.0	10118	0	10120
19.0	8784	0	8779
20.0	7336	0	7340
21.0	6449	0	6446
22.0	5707	0	5706
23.0	5003	0	5002
24.0	4357	0	4360
25.0	3765	0	3764
26.0	3557	0	3556
27.0	3100	0	3097
28.0	2785	1	2788
29.0	2472	0	2469
30.0	2272	0	2273
31.0	2123	0	2121
32.0	1909	0	1909
33.0	1725	0	1725
34.0	1551	0	1551
35.0	1440	0	1442
36.0	1356	0	1355
37.0	1259	0	1256
38.0	1156	0	1159
39.0	1096	0	1093
40.0	985	1	985
41.0	912	0	911
42.0	838	1	839
43.0	809	0	809
44.0	745	0	743
45.0	690	0	690
46.0	665	0	664
47.0	698	0	698
48.0	603	0	604
49.0	612	1	612
50.0	532	0	531
51.0	563	0	562
52.0	492	0	493
53.0	486	0	486
54.0	465	0	464
55.0	467	1	467
56.0	414	0	415
57.0	386	0	386
58.0	356	0	355
59.0	394	0	394
60.0	373	0	372
61.0	301	0	301
62.0	309	0	310
63.0	336	0	336
64.0	287	0	289
65.0	291	0	289
66.0	307	0	307
67.0	282	0	281
68.0	268	0	269
69.0	276	0	275
70.0	276	0	277
71.0	243	0	245
72.0	237	0	235
73.0	225	0	226
74.0	216	0	215
75.0	228	0	228
76.0	223	0	224
77.0	193	0	192
78.0	228	0	228
79.0	188	0	187
80.0	209	0	211
81.0	190	0	190
82.0	167	0	165
83.0	183	0	183
84.0	186	0	186
85.0	175	0	175
86.0	154	0	154
87.0	156	0	156
88.0	151	0	151
89.0	150	0	150
90.0	143	0	143
91.0	149	0	149
92.0	128	0	129
93.0	129	0	128
94.0	149	0	151
95.0	140	0	138
96.0	132	0	133
97.0	133	0	134
98.0	123	0	122
99.0	115	0	114
100.0	120	0	121
101.0	136	0	135
102.0	123	0	123
103.0	111	0	112
104.0	103	0	103
105.0	101	0	100
106.0	102	0	103
107.0	119	0	118
108.0	122	0	123
109.0	81	0	80
110.0	102	0	102
111.0	117	0	117
112.0	80	0	80
113.0	106	0	106
114.0	99	0	99
115.0	78	0	78
116.0	99	0	100
117.0	86	0	85
118.0	77	0	77
119.0	97	0	97
120.0	72	0	72
121.0	78	0	79
122.0	83	0	82
123.0	73	0	73
124.0	58	0	58
125.0	64	0	64
126.0	72	0	72
127.0	73	0	73
128.0	77	0	77
129.0	63	0	64
130.0	53	0	52
131.0	74	0	74
132.0	67	0	67
133.0	68	0	68
134.0	54	0	54
135.0	65	0	65
136.0	67	0	67
137.0	55	0	55
138.0	55	0	55
139.0	39	0	40
140.0	66	0	65
141.0	48	0	48
142.0	57	0	57
143.0	49	0	49
144.0	52	0	52
145.0	46	0	47
146.0	44	0	44
147.0	43	0	43
148.0	46	0	45
149.0	45	0	45
150.0	38	0	38
151.0	54	0	54
152.0	50	0	50
153.0	43	0	45
154.0	44	0	42
155.0	49	0	49
156.0	42	0	43
157.0	51	0	50
158.0	46	0	46
159.0	53	0	53
160.0	39	0	39
161.0	39	0	39
162.0	33	0	33
163.0	36	0	36
164.0	33	0	34
165.0	40	0	40
166.0	31	0	31
167.0	31	0	31
168.0	37	0	37
169.0	34	0	34
170.0	30	0	30
171.0	27	0	27
172.0	38	0	38
173.0	32	0	33
174.0	41	0	40
175.0	32	0	32
176.0	32	0	33
177.0	36	0	35
178.0	39	0	39
179.0	38	0	38
180.0	33	0	32
181.0	25	0	25
182.0	31	0	31
183.0	29	0	29
184.0	27	0	28
185.0	26	0	25
186.0	33	0	33
187.0	30	0	30
188.0	29	0	29
189.0	30	0	30
190.0	25	0	25
191.0	26	0	26
192.0	12	0	12
193.0	25	0	25
194.0	22	0	22
195.0	26	0	27
196.0	24	0	23
197.0	19	0	21
198.0	16	0	14
199.0	14	0	14
200.0	23	0	23
201.0	16	0	16
202.0	12	0	12
203.0	23	0	23
204.0	31	0	32
205.0	19	0	18
206.0	18	0	18
207.0	21	0	22
208.0	13	0	12
209.0	25	0	25
210.0	20	0	20
211.0	21	0	21
212.0	19	0	19
213.0	30	0	31
214.0	23	0	23
215.0	14	0	14
216.0	17	0	16
217.0	24	0	24
218.0	17	0	17
219.0	24	0	24
220.0	14	0	14
221.0	19	0	19
222.0	17	0	17
223.0	19	0	19
224.0	13	0	13
225.0	10	0	10
226.0	15	0	15
227.0	10	0	10
228.0	15	0	15
229.0	18	0	18
230.0	14	0	14
231.0	18	0	18
232.0	12	0	12
233.0	12	0	12
234.0	20	0	20
235.0	10	0	10
236.0	16	0	17
237.0	12	0	11
238.0	13	0	13
239.0	20	0	20
240.0	12	0	12
241.0	10	0	10
242.0	13	0	13
243.0	17	0	17
244.0	16	0	16
245.0	10	0	10
246.0	5	0	6
247.0	12	0	11
248.0	10	0	10
249.0	4	0	4
250.0	7	0	8
251.0	4	0	3
252.0	10	0	10
253.0	10	0	10
254.0	8	0	8
255.0	9	0	9
256.0	16	0	16
257.0	12	0	12
258.0	12	0	12
259.0	11	0	11
260.0	7	0	7
261.0	5	0	5
262.0	6	0	6
263.0	11	0	11
264.0	5	0	6
265.0	11	0	10
266.0	10	0	10
267.0	9	0	9
268.0	8	0	8
269.0	7	0	7
270.0	6	0	6
271.0	4	0	4
272.0	6	0	6
273.0	7	0	7
274.0	6	0	6
275.0	9	0	9
276.0	7	0	7
277.0	8	0	8
278.0	7	0	7
279.0	8	0	8
280.0	8	0	9
281.0	6	0	5
282.0	8	0	8
283.0	3	0	3
284.0	7	0	7
285.0	10	0	10
286.0	8	0	8
287.0	6	0	6
288.0	3	0	3
289.0	9	0	9
290.0	3	0	3
291.0	3	0	3
292.0	5	0	5
293.0	6	0	6
294.0	6	0	6
295.0	7	0	7
296.0	5	0	5
297.0	5	0	5
298.0	3	0	3
299.0	7	0	7
300.0	3	0	3
301.0	7	0	7
302.0	5	0	5
303.0	7	0	7
304.0	4	0	4
305.0	6	0	6
306.0	3	0	3
307.0	3	0	3
308.0	6	0	7
309.0	7	0	6
310.0	5	0	5
311.0	2	0	2
312.0	6	0	6
313.0	7	0	7
314.0	6	0	6
315.0	10	0	10
316.0	3	0	3
317.0	3	0	3
318.0	4	0	4
319.0	6	0	6
320.0	2	0	2
321.0	6	0	6
322.0	3	0	3
323.0	8	0	8
324.0	9	0	9
325.0	3	0	4
326.0	5	0	4
327.0	4	0	4
328.0	6	0	6
329.0	6	0	6
330.0	7	0	7
331.0	4	0	4
332.0	5	0	5
333.0	4	0	4
334.0	5	0	5
335.0	7	0	7
336.0	4	0	4
337.0	4	0	4
338.0	3	0	3
339.0	4	0	4
340.0	4	0	5
341.0	4	0	3
342.0	2	0	2
343.0	4	0	4
344.0	2	0	2
345.0	8	0	8
346.0	7	0	7
347.0	3	0	3
348.0	3	0	3
349.0	4	0	4
350.0	4	0	4
351.0	8	0	8
352.0	4	0	4
353.0	1	0	1
354.0	2	0	2
355.0	1	0	1
356.0	1	0	1
357.0	4	0	4
358.0	2	0	2
359.0	2	0	2
360.0	2	0	2
361.0	3	0	3
362.0	1	0	1
363.0	3	0	3
364.0	6	0	6
365.0	2	0	2
366.0	3	0	3
367.0	5	0	5
368.0	3	0	3
369.0	2	0	2
370.0	3	0	4
371.0	4	0	3
372.0	3	0	3
373.0	7	0	8
374.0	3	0	2
375.0	1	0	1
376.0	2	0	2
377.0	3	0	3
378.0	3	0	3
379.0	3	0	3
380.0	3	0	3
381.0	1	0	1
382.0	1	0	1
383.0	4	0	4
384.0	3	0	3
385.0	3	0	3
386.0	3	0	3
387.0	5	0	5
388.0	2	0	2
389.0	2	0	2
390.0	1	0	1
391.0	1	0	1
392.0	1	0	1
393.0	3	0	3
395.0	1	0	1
396.0	2	0	2
398.0	3	0	3
399.0	2	0	3
400.0	2	0	1
403.0	1	0	1
404.0	1	0	1
405.0	2	0	2
406.0	0	0	1
407.0	1	0	0
410.0	2	0	2
411.0	1	0	1
412.0	1	0	1
413.0	2	0	2
414.0	1	0	1
415.0	3	0	3
416.0	1	0	1
417.0	3	0	3
419.0	2	0	2
420.0	1	0	1
421.0	2	0	2
422.0	1	0	1
423.0	1	0	1
424.0	2	0	2
425.0	2	0	2
428.0	1	0	2
429.0	1	0	0
430.0	1	0	1
432.0	2	0	2
433.0	1	0	1
435.0	4	0	4
436.0	1	0	1
437.0	1	0	1
439.0	1	0	1
440.0	2	0	2
441.0	1	0	1
442.0	3	0	3
443.0	1	0	1
446.0	2	0	2
447.0	1	0	1
448.0	1	0	1
449.0	2	0	2
